from,to,from_word,to_word,weight
19,939,death,shot,0.01724138
19,1026,death,killer,0.0372881355932203
19,1239,death,sorrow,0.02758621
19,1385,death,nuclear,0.0171821305841924
19,1433,death,taxes,0.03424658
19,1560,death,smoking,0.02076125
19,1759,death,skeleton,0.03125
19,1827,death,zombie,0.01672241
19,1858,death,sudden,0.06985294
20,26,fire,wood,0.05102041
20,36,fire,warm,0.03061224
20,207,fire,smoke,0.19
20,528,fire,liar,0.0512820512820513
20,575,fire,warmth,0.1176471
20,598,fire,woods,0.01712329
20,927,fire,roof,0.01712329
20,954,fire,shoot,0.03741497
20,1012,fire,volcano,0.05102041
20,1068,fire,trial,0.01355932
20,1175,fire,rage,0.01369863
20,1276,fire,rocket,0.04067797
20,1315,fire,match,0.105084745762712
20,1335,fire,passion,0.0344827586206897
20,1488,fire,lava,0.0306122448979592
20,1513,fire,stove,0.04095563
20,1554,fire,intense,0.0177304964539007
20,1560,fire,smoking,0.04844291
20,1607,fire,spit,0.01785714
20,1628,fire,station,0.01724138
21,8,hot,sex,0.02097902
21,36,hot,warm,0.0952381
21,43,hot,sun,0.06122449
21,151,hot,summer,0.09395973
21,233,hot,sexy,0.1079137
21,272,hot,tea,0.04713805
21,296,hot,soup,0.06081081
21,359,hot,iron,0.0205479452054795
21,400,hot,sweat,0.05882353
21,497,hot,spice,0.05782313
21,575,hot,warmth,0.0449827
21,701,hot,shower,0.02356902
21,750,hot,south,0.01689189
21,777,hot,sexual,0.03214286
21,875,hot,oven,0.125
21,965,hot,model,0.0278745644599303
21,979,hot,mexican,0.024390243902439
21,1012,hot,volcano,0.04081633
21,1036,hot,sweater,0.02364865
21,1049,hot,steam,0.09459459
21,1093,hot,wheels,0.01365188
21,1101,hot,spicy,0.2160279
21,1250,hot,pepper,0.0582191780821918
21,1269,hot,mexico,0.0202020202020202
21,1294,hot,india,0.0206185567010309
21,1347,hot,lust,0.0176056338028169
21,1488,hot,lava,0.180272108843537
21,1513,hot,stove,0.08532423
21,1560,hot,smoking,0.02422145
21,1627,hot,mustard,0.0234113712374582
21,1898,hot,spain,0.02422145
22,16,child,small,0.0238095238095238
22,42,child,girl,0.0306122448979592
22,63,child,children,0.0238095238095238
22,122,child,mother,0.0573665707893896
22,127,child,young,0.1568573265306122
22,177,child,scared,0.01384083
22,199,child,problem,0.03484321
22,397,child,shy,0.02405498
22,414,child,kid,0.3185664509706325
22,470,child,toy,0.05862069
22,583,child,teenager,0.02430556
22,595,child,youth,0.1052632
22,621,child,middle,0.0801393728222996
22,646,child,sister,0.01048951
22,698,child,parent,0.1564625850340135
22,874,child,naughty,0.0308219178082192
22,878,child,wonder,0.02413793
22,931,child,protect,0.02389078
22,1174,child,missing,0.0454545454545455
22,1443,child,unwanted,0.03663004
22,1503,child,pregnant,0.02730375
22,1546,child,only,0.0418118466898955
22,1549,child,teen,0.01712329
22,1567,child,pregnancy,0.02348993
22,1614,child,toys,0.03020134
22,1773,child,spoiled,0.1017544
23,531,war,weapon,0.04054054
24,11,animal,dog,0.113013698630137
24,28,animal,horse,0.0205479452054795
24,33,animal,cat,0.1023260090098373
24,48,animal,party,0.0335570469798658
24,95,animal,meat,0.0207612456747405
24,218,animal,pig,0.0268456375838926
24,309,animal,sheep,0.03412969
24,373,animal,human,0.0273972602739726
24,440,animal,monkey,0.0308219178082192
