node_id,word,y_ldt_z,y_ldt_raw_zscore,y_ldt_rt_ms,ldt_accuracy,ldt_obs,ldt_sd,y_naming_z,y_naming_raw_zscore,y_naming_rt_ms,naming_accuracy,naming_obs,length,z_length,log_freq_hal,z_log_freq_hal,lgsubtlwf,z_lgsubtlwf,ortho_n,z_ortho_n,old,z_old,nphon,z_nphon,nsyll,z_nsyll,nmorph,z_nmorph,age_of_acquisition,z_age_of_acquisition,emotional_valence,z_emotional_valence,emotional_arousal,z_emotional_arousal,emotional_dominance,z_emotional_dominance,body_object_interaction,z_body_object_interaction
257,forest,0.7297798665881552,-0.482,699.333,0.97,27.0,384.178,0.1931177452604438,-0.471,624.741,1.0,,6,0.3274142236247869,9.747,-0.044174333245182634,2.984,-0.3587839072612303,1,-0.7563089790714554,1.9,0.008994579309728482,6,0.989393402413632,2,0.5037522514300279,1,-0.6133818164857131,6.28,0.11979634749545276,6.68,0.8934819072175495,4.44,0.18916628077996628,5.71,0.27919295646087033,4.6,0.6261981019430488
258,farm,-0.5094305964030216,-0.683,604.667,1.0,27.0,153.264,-0.07099508476840813,-0.522,609.63,1.0,,4,-0.8615340841320809,9.293,-0.3329113447915925,3.186,-0.07160952788825252,10,0.6503319952663563,1.55,-0.5555849814193369,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.85,-1.156405958636029,6.22,0.5745184925012511,3.05,-1.195838874747094,6.08,0.6457380784845412,5.036,0.8927920721160899
259,jesus,1.0318759496059045,-0.433,663.812,1.0,25.0,212.467,0.11025881819256869,-0.487,622.72,1.0,,5,-0.267059930253647,10.511,0.4417179064496558,3.915,0.9647772174726428,1,-0.7563089790714554,2.0,0.1703030252323188,5,0.33948432916265947,2,0.5037522514300279,1,-0.6133818164857131,,,,,,,,,,
260,stick,-0.6820569295560207,-0.711,606.152,1.0,26.0,188.188,1.7260078960161322,-0.175,709.038,1.0,,5,-0.267059930253647,10.25,0.27572592404081736,3.695,0.6520130419179142,6,0.025158228893995518,1.5,-0.636239204380632,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.89,-1.1353985132676094,5.27,-0.08421029876066985,3.81,-0.43856986884740645,5.82,0.38816583057601606,6.16,1.5800664355897098
261,sport,-0.675891703371985,-0.71,555.514,1.0,26.0,180.174,1.9901207260449838,-0.124,691.885,1.0,,5,-0.267059930253647,9.672,-0.09187317876496348,3.007,-0.3260858343623267,5,-0.13113521269909467,1.5,-0.636239204380632,5,0.33948432916265947,1,-0.8281434787069444,1,-0.6133818164857131,5.74,-0.16380416497820985,6.95,1.0806995636814642,4.7,0.44823199332459596,6.21,0.7745242024388038,3.519,-0.03478373694928421
262,gas,-1.2739186432234486,-0.807,549.97,1.0,26.0,135.508,-1.106731673116846,-0.722,574.231,1.0,,3,-1.4560082380105148,10.157,0.21657935559628858,3.539,0.43023480834274364,18,1.9006795280110778,1.3,-0.9588560962258122,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,5.32,-0.38438234134661403,4.06,-0.9232227592100637,4.4,0.14931001731156165,4.17,-1.2464272811511647,3.652,0.04653965303469391
263,machine,-1.4465449763764477,-0.835,569.71,0.94,22.0,177.499,-0.008850889467501791,-0.51,593.818,1.0,,7,0.9218883775032208,11.704,1.2004475425176446,3.554,0.45155963849420194,0,-0.9126024206645457,2.35,0.7348825859613844,5,0.33948432916265947,2,0.5037522514300279,1,-0.6133818164857131,6.53,0.2510928810480743,5.0,-0.27142795522458385,4.39,0.13934595144445983,4.8,-0.6223099112189686,5.792,1.3550513414987024
264,candy,0.43384900975444113,-0.53,684.188,0.97,27.0,349.103,0.3536569164544516,-0.44,627.852,1.0,,5,-0.267059930253647,8.494,-0.8410630457289957,3.261,0.035014622869041466,7,0.18145167048708571,1.65,-0.3942765354967469,5,0.33948432916265947,2,0.5037522514300279,1,-0.6133818164857131,4.0,-1.077628038504456,7.27,1.3025871565275844,5.03,0.7770461669389339,6.46,1.0221898254277706,6.4,1.7268154099968884
265,tall,0.020778855424049374,-0.597,618.529,1.0,28.0,227.876,-0.5267191836417208,-0.61,586.214,1.0,,4,-0.8615340841320809,9.337,-0.30492802208665387,3.217,-0.027538212241904246,17,1.7443860864179876,1.1,-1.2814729880709925,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,4.95,-0.578701211004494,6.71,0.9142838690468735,3.85,-0.3987136053790018,6.47,1.0320964503473289,2.52,-0.645626342919165
266,wall,0.3043792598896913,-0.551,613.452,1.0,28.0,163.084,-1.5624557719901593,-0.81,545.143,1.0,,4,-0.8615340841320809,11.428,1.0249157910048496,3.557,0.4558246045244938,15,1.4317992032318072,1.2,-1.1201645421484026,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.79,-1.1879171266886581,5.06,-0.22982403156593653,2.9,-1.345299862753611,4.22,-1.1968941565533715,4.68,0.6751144267454418
